name,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,longitude,latitude,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name,ExtendedData/Data/14/value,ExtendedData/Data/14/_name,ExtendedData/Data/15/value,ExtendedData/Data/15/_name,ExtendedData/Data/16/value,ExtendedData/Data/16/_name,ExtendedData/Data/17/value,ExtendedData/Data/17/_name,ExtendedData/Data/18/value,ExtendedData/Data/18/_name,description
Godwin Heights High School,node/353934302,@id,school,amenity,207,ele,081,gnis:county_id,04/14/1980,gnis:created,626913,gnis:feature_id,26,gnis:state_id,Godwin Heights High School,name,-85.6636397,42.8989168,,,,,,,,,,,,,,,,,,,,,,,
Godwin Heights North School,node/353934308,@id,school,amenity,206,ele,081,gnis:county_id,04/14/1980,gnis:created,626914,gnis:feature_id,26,gnis:state_id,Godwin Heights North School,name,-85.6691957,42.9028055,,,,,,,,,,,,,,,,,,,,,,,
Godfrey School,node/353934319,@id,school,amenity,192,ele,081,gnis:county_id,04/14/1980,gnis:created,626912,gnis:feature_id,26,gnis:state_id,Godfrey School,name,-85.6930863,42.9291935,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
Grand Rapids High School,node/353934918,@id,school,amenity,215,ele,081,gnis:county_id,04/14/1980,gnis:created,627108,gnis:feature_id,26,gnis:state_id,Grand Rapids High School,name,-85.6580855,42.9491937,,,,,,,,,,,,,,,,,,,,,,,
Greenbridge School,node/353935410,@id,school,amenity,213,ele,081,gnis:county_id,04/14/1980,gnis:created,627339,gnis:feature_id,26,gnis:state_id,Greenbridge School,name,-85.6755888,43.0316924,,,,,,,,,,,,,,,,,,,,,,,
Hanley School,node/353936806,@id,school,amenity,205,ele,139,gnis:county_id,04/14/1980,gnis:created,627729,gnis:feature_id,26,gnis:state_id,Hanley School,name,-85.7916992,42.8569713,,,,,,,,,,,,,,,,,,,,,,,
Harrison Park Junior High School,node/353937288,@id,school,amenity,188,ele,081,gnis:county_id,04/14/1980,gnis:created,627860,gnis:feature_id,26,gnis:state_id,Harrison Park Junior High School,name,-85.6858655,42.989748,,,,,,,,,,,,,,,,,,,,,,,
Hillcrest School,node/353939375,@id,school,amenity,232,ele,081,gnis:county_id,04/14/1980,gnis:created,628306,gnis:feature_id,26,gnis:state_id,Hillcrest School,name,-85.6350295,42.9669715,,,,,,,,,,,,,,,,,,,,,,,
Holy Name School,node/353940330,@id,school,amenity,189,ele,081,gnis:county_id,04/14/1980,gnis:created,628485,gnis:feature_id,26,gnis:state_id,Holy Name School,name,-85.6933641,42.9339156,limited,wheelchair,,,,,,,,,,,,,,,,,,,,,
Holy Trinity School,node/353940414,@id,school,amenity,197,ele,081,gnis:county_id,04/14/1980,gnis:created,628501,gnis:feature_id,26,gnis:state_id,Holy Trinity School,name,-85.70503,42.8878052,,,,,,,,,,,,,,,,,,,,,,,
Hope School,node/353940857,@id,school,amenity,201,ele,081,gnis:county_id,04/14/1980,gnis:created,628571,gnis:feature_id,26,gnis:state_id,Hope School,name,-85.7755898,42.9366922,,,,,,,,,,,,,,,,,,,,,,,
Immaculate Heart of Mary School,node/353941966,@id,school,amenity,237,ele,081,gnis:county_id,04/14/1980,gnis:created,628933,gnis:feature_id,26,gnis:state_id,Immaculate Heart of Mary School,name,-85.6244723,42.9278057,christian,religion,,,,,,,,,,,,,,,,,,,,,
Jackson Park Junior High School,node/353942721,@id,school,amenity,205,ele,081,gnis:county_id,04/14/1980,gnis:created,629176,gnis:feature_id,26,gnis:state_id,Jackson Park Junior High School,name,-85.6986413,42.9050272,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
Jefferson School,node/353943660,@id,school,amenity,204,ele,081,gnis:county_id,04/14/1980,gnis:created,629245,gnis:feature_id,26,gnis:state_id,Jefferson School,name,-85.6625297,42.937805,,,,,,,,,,,,,,,,,,,,,,,
Kelloggsville Southwest School,node/353944656,@id,school,amenity,203,ele,081,gnis:county_id,04/14/1980,gnis:created,629537,gnis:feature_id,26,gnis:state_id,Kelloggsville Southwest School,name,-85.6683612,42.8683616,,,,,,,,,,,,,,,,,,,,,,,
Kelloggsville School,node/353944725,@id,school,amenity,209,ele,081,gnis:county_id,04/14/1980,gnis:created,629535,gnis:feature_id,26,gnis:state_id,Kelloggsville School,name,-85.6491939,42.8680842,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
Kendall School,node/353944816,@id,school,amenity,223,ele,081,gnis:county_id,04/14/1980,gnis:created,629579,gnis:feature_id,26,gnis:state_id,Kendall School,name,-85.6566975,42.9832969,,,,,,,,,,,,,,,,,,,,,,,
Ken-O-Sha Park School,node/353944827,@id,school,amenity,206,ele,081,gnis:county_id,04/14/1980,gnis:created,629575,gnis:feature_id,26,gnis:state_id,Ken-O-Sha Park School,name,-85.6330832,42.9041949,,,,,,,,,,,,,,,,,,,,,,,
Kensington School,node/353944847,@id,school,amenity,204,ele,081,gnis:county_id,04/14/1980,gnis:created,629598,gnis:feature_id,26,gnis:state_id,Kensington School,name,-85.6903088,42.9441933,,,,,,,,,,,,,,,,,,,,,,,
Kent Hills School,node/353944884,@id,school,amenity,229,ele,081,gnis:county_id,04/14/1980,gnis:created,629602,gnis:feature_id,26,gnis:state_id,Kent Hills School,name,-85.6486418,42.9894708,,,,,,,,,,,,,,,,,,,,,,,
Knapp School,node/353945192,@id,school,amenity,234,ele,081,gnis:county_id,04/14/1980,gnis:created,629805,gnis:feature_id,26,gnis:state_id,Knapp School,name,-85.5227955,42.9486899,,,,,,,,,,,,,,,,,,,,,,,
Lee High School,node/353947009,@id,school,amenity,190,ele,081,gnis:county_id,04/14/1980,gnis:created,630255,gnis:feature_id,26,gnis:state_id,Lee High School,name,-85.7005867,42.9316934,yes,wheelchair,Q6513886,wikidata,,,,,,,,,,,,,,,,,,,
Lexington School,node/353947183,@id,school,amenity,186,ele,081,gnis:county_id,04/14/1980,gnis:created,630362,gnis:feature_id,26,gnis:state_id,Lexington School,name,-85.6844758,42.9647485,,,,,,,,,,,,,,,,,,,,,,,
Maplewood School,node/353949551,@id,school,amenity,199,ele,081,gnis:county_id,04/14/1980,gnis:created,631524,gnis:feature_id,26,gnis:state_id,Maplewood School,name,-85.6778086,42.9536377,,,,,,,,,,,,,,,,,,,,,,,
Martin School,node/353950934,@id,school,amenity,238,ele,081,gnis:county_id,04/14/1980,gnis:created,631672,gnis:feature_id,26,gnis:state_id,Martin School,name,-85.5616926,42.9458619,,,,,,,,,,,,,,,,,,,,,,,
Marshall School,node/353951041,@id,school,amenity,214,ele,081,gnis:county_id,04/14/1980,gnis:created,631642,gnis:feature_id,26,gnis:state_id,Marshall School,name,-85.7069733,42.847806,,,,,,,,,,,,,,,,,,,,,,,
Lincoln School,node/353951144,@id,school,amenity,244,ele,081,gnis:county_id,04/14/1980,gnis:created,630480,gnis:feature_id,26,gnis:state_id,Lincoln School,name,-85.5591934,42.9783614,,,,,,,,,,,,,,,,,,,,,,,
Marywood Academy,node/353951187,@id,school,amenity,239,ele,081,gnis:county_id,04/14/1980,gnis:created,631692,gnis:feature_id,26,gnis:state_id,Marywood Academy,name,-85.6194732,42.9658606,,,,,,,,,,,,,,,,,,,,,,,
Mayfield School,node/353951476,@id,school,amenity,230,ele,081,gnis:county_id,04/14/1980,gnis:created,631775,gnis:feature_id,26,gnis:state_id,Mayfield School,name,-85.6336405,42.9678049,,,,,,,,,,,,,,,,,,,,,,,
Moffitt Hill School,node/353953002,@id,school,amenity,244,ele,081,gnis:county_id,04/14/1980,gnis:created,632543,gnis:feature_id,26,gnis:state_id,Moffitt Hill School,name,-85.529472,43.0430837,,,,,,,,,,,,,,,,,,,,,,,
Morris School,node/353953796,@id,school,amenity,213,ele,081,gnis:county_id,04/14/1980,gnis:created,632716,gnis:feature_id,26,gnis:state_id,Morris School,name,-85.6583633,42.9528047,,,,,,,,,,,,,,,,,,,,,,,
Mulick Park School,node/353955149,@id,school,amenity,230,ele,081,gnis:county_id,04/14/1980,gnis:created,633099,gnis:feature_id,26,gnis:state_id,Mulick Park School,name,-85.6272503,42.9311389,,,,,,,,,,,,,,,,,,,,,,,
Oriole Park Elementary,node/353957299,@id,school,amenity,205,ele,081,gnis:county_id,04/14/1980,gnis:created,633363,gnis:feature_id,26,gnis:state_id,Oriole Park Elementary,name,-85.7003099,42.8910573,,,,,,,,,,,,,,,,,,,,,,,
North Park School,node/353958329,@id,school,amenity,204,ele,081,gnis:county_id,04/14/1980,gnis:created,633622,gnis:feature_id,26,gnis:state_id,North Park School,name,-85.6475318,43.0236373,,,,,,,,,,,,,,,,,,,,,,,
